brickname,brickid,coverage_class_exact_indicator
0896m470,89063,required
0896m480,85164,required
0896m482,84201,required
0896m485,83242,required
0896m495,79455,required
0896m497,78520,required
0896m500,77589,required
0896m507,74827,required
0896m510,73916,required
0897m525,68555,required
0897m527,67678,required
0897m535,65078,required
0897m537,64221,required
0897m542,62524,required
0897m545,61683,required
0897m552,59191,required
0897m555,58370,required
0897m560,56745,required
0897m562,55940,required
0897m570,53556,required
0897m577,51220,required
0897m585,48932,required
0897m592,46692,required
0897m600,44500,required
0897m605,43067,required
0897m607,42358,required
0897m612,40957,required
0897m620,38897,required
0897m625,37552,required
0897m627,36887,required
0898m432,104336,required
0898m435,103287,required
0898m437,102242,required
0898m440,101201,required
0898m455,95052,required
0898m457,94043,required
0898m460,93038,required
0898m472,88082,required
0898m475,87105,required
0898m477,86132,required
0898m487,82289,required
0898m490,81340,required
0898m492,80395,required
0898m502,76664,required
0898m505,75743,required
0898m512,73011,required
0898m515,72110,required
0900m392,121689,required
0900m395,120574,required
0900m397,119463,required
0900m400,118356,required
0900m402,117253,required
0900m405,116154,required
0900m407,115059,required
0900m412,112881,required
0900m415,111798,required
0900m417,110719,required
0900m420,109644,required
0900m422,108573,required
0900m442,100166,required
0900m445,99135,required
0900m447,98108,required
0900m450,97085,required
0900m452,96066,required
0900m465,91042,required
0900m467,90051,required
0900m470,89064,required
0900m480,85165,required
0900m482,84202,required
0900m485,83243,required
0900m495,79456,required
0900m497,78521,required
0900m500,77590,required
0900m510,73917,required
0900m517,71215,required
0900m520,70324,required
0900m522,69437,required
0900m530,66807,required
0900m532,65940,required
0900m540,63370,required
0900m547,60848,required
0900m550,60017,required
0900m557,57555,required
0900m565,55141,required
0900m567,54346,required
0900m572,52773,required
0900m575,51994,required
0900m580,50453,required
0900m582,49690,required
0900m587,48181,required
0900m590,47434,required
0900m595,45957,required
0900m597,45226,required
0900m602,43781,required
0900m610,41655,required
0900m615,40266,required
0900m617,39579,required
0900m622,38222,required
0900m630,36228,required
0900m752,11022,required
0900m757,10297,required
0900m767,8919,required
0900m772,8266,required
0900m777,7637,required
0900m787,6451,required
0900m790,6171,required
0900m795,5630,required
0900m800,5113,required
0900m805,4620,required
0900m810,4151,required
0900m817,3496,required
0900m822,3091,required
0900m827,2710,required
0900m832,2353,required
0900m840,1866,required
0900m845,1573,required
0900m850,1304,required
0900m855,1059,required
0900m862,742,required
0900m867,561,required
0900m872,404,required
0900m875,336,required
0900m880,219,required
0900m885,126,required
0900m890,57,required
0900m892,33,required
0901m425,107508,required
0901m430,105390,required
0901m432,104337,required
0901m435,103288,required
0901m437,102243,required
0901m440,101202,required
0901m455,95053,required
0901m457,94044,required
0901m460,93039,required
0901m462,92038,required
0901m472,88083,required
0901m475,87106,required
0901m477,86133,required
0901m487,82290,required
0901m490,81341,required
0901m492,80396,required
0901m502,76665,required
0901m505,75744,required
0902m515,72111,required
0902m525,68556,required
0902m527,67679,required
0902m535,65079,required
0902m537,64222,required
0902m542,62525,required
0902m545,61684,required
0902m552,59192,required
0902m555,58371,required
0902m560,56746,required
0902m562,55941,required
0902m570,53557,required
0902m585,48933,required
0902m592,46693,required
0902m605,43068,required
0902m607,42359,required
0902m612,40958,required
0902m620,38898,required
0902m625,37553,required
0902m627,36888,required
0903m395,120575,required
0903m397,119464,required
0903m400,118357,required
0903m402,117254,required
0903m412,112882,required
0903m415,111799,required
0903m417,110720,required
0903m420,109645,required
0903m422,108574,required
0903m442,100167,required
0903m445,99136,required
0903m447,98109,required
0903m450,97086,required
0903m452,96067,required
0903m465,91043,required
0903m467,90052,required
0903m470,89065,required
0903m480,85166,required
0903m482,84203,required
0903m485,83244,required
0903m495,79457,required
0903m497,78522,required
0903m500,77591,required
0903m507,74829,required
0903m510,73918,required
0904m517,71216,required
0904m520,70325,required
0904m522,69438,required
0904m530,66808,required
0904m532,65941,required
0904m540,63371,required
0904m547,60849,required
0904m550,60018,required
0904m557,57556,required
0904m565,55142,required
0904m567,54347,required
0904m572,52774,required
0904m575,51995,required
0904m580,50454,required
0904m582,49691,required
0904m587,48182,required
0904m590,47435,required
0904m595,45958,required
0904m597,45227,required
0904m750,11394,required
0904m755,10657,required
0905m425,107509,required
0905m427,106448,required
0905m430,105391,required
0905m432,104338,required
0905m435,103289,required
0905m437,102244,required
0905m440,101203,required
0905m455,95054,required
0905m457,94045,required
0905m460,93040,required
0905m462,92039,required
0905m472,88084,required
0905m475,87107,required
0905m477,86134,required
0905m487,82291,required
0905m490,81342,required
0905m492,80397,required
0905m502,76666,required
0905m505,75745,required
0905m512,73013,required
0905m610,41656,required
0905m615,40267,required
0905m617,39580,required
0905m622,38223,required
0905m630,36229,required
0905m760,9944,required
0905m765,9255,required
0905m770,8590,required
0905m775,7949,required
0905m780,7332,required
0906m392,121691,required
0906m395,120576,required
0906m397,119465,required
0906m400,118358,required
0906m402,117255,required
0906m405,116156,required
0906m407,115061,required
0906m410,113970,required
0906m412,112883,required
0906m415,111800,required
0906m417,110721,required
0906m420,109646,required
0906m422,108575,required
0906m442,100168,required
0906m445,99137,required
0906m515,72112,required
0906m527,67680,required
0906m535,65080,required
0906m537,64223,required
0906m542,62526,required
0906m545,61685,required
0906m552,59193,required
0906m555,58372,required
0906m560,56747,required
0906m570,53558,required
0906m577,51222,required
0906m785,6739,required
0906m792,5898,required
0906m797,5369,required
0907m447,98110,required
0907m450,97087,required
0907m452,96068,required
0907m465,91044,required
0907m467,90053,required
0907m470,89066,required
0907m480,85167,required
0907m482,84204,required
0907m485,83245,required
0907m497,78523,required
0907m500,77592,required
0907m507,74830,required
0907m510,73919,required
0907m585,48934,required
0907m592,46694,required
0907m605,43069,required
0907m607,42360,required
0907m612,40959,required
0907m620,38899,required
0907m802,4864,required
0907m807,4383,required
0908m425,107510,required
0908m427,106449,required
0908m432,104339,required
0908m435,103290,required
0908m437,102245,required
0908m440,101204,required
0908m455,95055,required
0908m457,94046,required
0908m460,93041,required
0908m520,70326,required
0908m522,69439,required
0908m530,66809,required
0908m532,65942,required
0908m540,63372,required
0908m547,60850,required
0908m550,60019,required
0908m557,57557,required
0908m625,37554,required
0908m627,36889,required
0908m632,35576,required
0908m812,3926,required
0908m815,3708,required
0908m820,3291,required
0909m395,120577,required
0909m397,119466,required
0909m400,118359,required
0909m402,117256,required
0909m405,116157,required
0909m407,115062,required
0909m410,113971,required
0909m412,112884,required
0909m462,92040,required
0909m472,88085,required
0909m475,87108,required
0909m477,86135,required
0909m487,82292,required
0909m490,81343,required
0909m492,80398,required
0909m502,76667,required
0909m505,75746,required
0909m512,73014,required
0909m565,55143,required
0909m567,54348,required
0909m572,52775,required
0909m575,51996,required
0909m580,50455,required
0909m582,49692,required
0909m587,48183,required
0909m590,47436,required
0909m595,45959,required
0909m597,45228,required
0909m752,11023,required
0909m825,2898,required
0910m417,110722,required
0910m420,109647,required
0910m422,108576,required
0910m442,100169,required
0910m445,99138,required
0910m447,98111,required
0910m450,97088,required
0910m452,96069,required
0910m465,91045,required
0910m467,90054,required
0910m470,89067,required
0910m515,72113,required
0910m525,68558,required
0910m535,65081,required
0910m537,64224,required
0910m542,62527,required
0910m545,61686,required
0910m552,59194,required
0910m555,58373,required
0910m610,41657,required
0910m615,40268,required
0910m617,39581,required
0910m630,36230,required
0910m757,10298,required
0910m767,8920,required
0910m830,2529,required
0910m835,2184,required
0911m425,107511,required
0911m427,106450,required
0911m432,104340,required
0911m480,85168,required
0911m482,84205,required
0911m485,83246,required
0911m495,79459,required
0911m500,77593,required
0911m507,74831,required
0911m510,73920,required
0911m560,56748,required
0911m562,55943,required
0911m570,53559,required
0911m577,51223,required
0911m585,48935,required
0911m772,8267,required
0911m777,7638,required
0911m837,2022,required
0912m395,120578,required
0912m397,119467,required
0912m435,103291,required
0912m437,102246,required
0912m440,101205,required
0912m455,95056,required
0912m457,94047,required
0912m460,93042,required
0912m462,92041,required
0912m472,88086,required
0912m475,87109,required
0912m477,86136,required
0912m517,71218,required
0912m522,69440,required
0912m530,66810,required
0912m532,65943,required
0912m540,63373,required
0912m547,60851,required
0912m605,43070,required
0912m607,42361,required
0912m612,40960,required
0912m782,7033,required
0912m787,6452,required
0912m790,6172,required
0912m842,1717,required
0913m400,118360,required
0913m402,117257,required
0913m405,116158,required
0913m410,113972,required
0913m412,112885,required
0913m415,111802,required
0913m417,110723,required
0913m420,109648,required
0913m422,108577,required
0913m445,99139,required
0913m487,82293,required
0913m490,81344,required
0913m492,80399,required
0913m502,76668,required
0913m505,75747,required
0913m512,73015,required
0913m550,60020,required
0913m557,57558,required
0913m565,55144,required
0913m567,54349,required
0913m572,52776,required
0913m575,51997,required
0913m620,38900,required
0913m625,37555,required
0913m627,36890,required
0913m632,35577,required
0913m795,5631,required
0913m847,1436,required
0914m447,98112,required
0914m450,97089,required
0914m452,96070,required
0914m465,91046,required
0914m467,90055,required
0914m470,89068,required
0914m480,85169,required
0914m482,84206,required
0914m515,72114,required
0914m525,68559,required
0914m535,65082,required
0914m537,64225,required
0914m542,62528,required
0914m580,50456,required
0914m587,48184,required
0914m590,47437,required
0914m595,45960,required
0914m597,45229,required
0914m750,11395,required
0914m755,10658,required
0914m800,5114,required
0914m805,4621,required
0914m852,1179,required
0915m425,107512,required
0915m427,106451,required
0915m430,105394,required
0915m432,104341,required
0915m435,103292,required
0915m437,102247,required
0915m440,101206,required
0915m485,83247,required
0915m495,79460,required
0915m497,78525,required
0915m500,77594,required
0915m507,74832,required
0915m510,73921,required
0915m545,61687,required
0915m552,59195,required
0915m555,58374,required
0915m560,56749,required
0915m562,55944,required
0915m570,53560,required
0915m602,43784,required
0915m610,41658,required
0915m615,40269,required
0915m617,39582,required
0915m760,9945,required
0915m765,9256,required
0916m395,120579,required
0916m397,119468,required
0916m402,117258,required
0916m405,116159,required
0916m412,112886,required
0916m415,111803,required
0916m417,110724,required
0916m420,109649,required
0916m422,108578,required
0916m455,95057,required
0916m457,94048,required
0916m460,93043,required
0916m462,92042,required
0916m472,88087,required
0916m475,87110,required
0916m477,86137,required
0916m517,71219,required
0916m520,70328,required
0916m530,66811,required
0916m540,63374,required
0916m577,51224,required
0916m585,48936,required
0916m630,36231,required
0916m635,34930,required
0916m770,8591,required
0917m442,100171,required
0917m445,99140,required
0917m447,98113,required
0917m450,97090,required
0917m452,96071,required
0917m487,82294,required
0917m490,81345,required
0917m492,80400,required
0917m502,76669,required
0917m505,75748,required
0917m512,73016,required
0917m547,60852,required
0917m550,60021,required
0917m592,46696,required
0917m600,44504,required
0917m607,42362,required
0917m775,7950,required
0917m780,7333,required
0917m817,3497,required
0917m860,842,required
0918m425,107513,required
0918m427,106452,required
0918m430,105395,required
0918m432,104342,required
0918m435,103293,required
0918m437,102248,required
0918m465,91047,required
0918m467,90056,required
0918m470,89069,required
0918m480,85170,required
0918m482,84207,required
0918m485,83248,required
0918m515,72115,required
0918m525,68560,required
0918m527,67683,required
0918m535,65083,required
0918m537,64226,required
0918m565,55145,required
0918m567,54350,required
0918m572,52777,required
0918m575,51998,required
0918m580,50457,required
0918m582,49694,required
0918m612,40961,required
0918m625,37556,required
0918m627,36891,required
0918m747,11773,required
0918m785,6740,required
0918m822,3092,required
0919m392,121695,required
0919m395,120580,required
0919m397,119469,required
0919m400,118362,required
0919m405,116160,required
0919m412,112887,required
0919m415,111804,required
0919m440,101207,required
0919m455,95058,required
0919m457,94049,required
0919m460,93044,required
0919m462,92043,required
0919m495,79461,required
0919m497,78526,required
0919m500,77595,required
0919m507,74833,required
0919m542,62529,required
0919m545,61688,required
0919m552,59196,required
0919m555,58375,required
0919m587,48185,required
0919m590,47438,required
0919m595,45961,required
0919m597,45230,required
0919m632,35578,required
0919m637,34289,required
0919m752,11024,required
0919m792,5899,required
0919m827,2711,required
0919m865,649,required
0920m417,110725,required
0920m420,109650,required
0920m422,108579,required
0920m442,100172,required
0920m445,99141,required
0920m472,88088,required
0920m475,87111,required
0920m477,86138,required
0920m487,82295,required
0920m490,81346,required
0920m492,80401,required
0920m517,71220,required
0920m520,70329,required
0920m522,69442,required
0920m530,66812,required
0920m532,65945,required
0920m560,56750,required
0920m570,53561,required
0920m577,51225,required
0920m602,43785,required
0920m610,41659,required
0920m615,40270,required
0920m617,39583,required
0920m757,10299,required
0920m762,9598,required
0920m797,5370,required
0920m832,2354,required
0921m447,98114,required
0921m450,97091,required
0921m452,96072,required
0921m465,91048,required
0921m467,90057,required
0921m470,89070,required
0921m505,75749,required
0921m512,73017,required
0921m540,63375,required
0921m547,60853,required
0921m550,60022,required
0921m585,48937,required
0921m592,46697,required
0921m622,38226,required
0921m630,36232,required
0921m767,8921,required
0921m802,4865,required
0922m395,120581,required
0922m397,119470,required
0922m427,106453,required
0922m430,105396,required
0922m432,104343,required
0922m435,103294,required
0922m437,102249,required
0922m440,101208,required
0922m480,85171,required
0922m482,84208,required
0922m485,83249,required
0922m515,72116,required
0922m525,68561,required
0922m527,67684,required
0922m557,57560,required
0922m565,55146,required
0922m605,43072,required
0922m607,42363,required
0922m635,34931,required
0922m772,8268,required
0922m807,4384,required
0922m870,480,required
0923m407,115066,required
0923m412,112888,required
0923m415,111805,required
0923m417,110726,required
0923m420,109651,required
0923m422,108580,required
0923m455,95059,required
0923m457,94050,required
0923m460,93045,required
0923m462,92044,required
0923m472,88089,required
0923m475,87112,required
0923m495,79462,required
0923m497,78527,required
0923m500,77596,required
0923m507,74834,required
0923m510,73923,required
0923m535,65084,required
0923m537,64227,required
0923m542,62530,required
0923m545,61689,required
0923m572,52778,required
0923m575,51999,required
0923m580,50458,required
0923m582,49695,required
0923m612,40962,required
0923m620,38902,required
0923m745,12157,required
0923m750,11396,required
0923m777,7639,required
0923m840,1867,required
0924m442,100173,required
0924m445,99142,required
0924m447,98115,required
0924m450,97092,required
0924m452,96073,required
0924m477,86139,required
0924m487,82296,required
0924m490,81347,required
0924m492,80402,required
0924m517,71221,required
0924m520,70330,required
0924m522,69443,required
0924m530,66813,required
0924m532,65946,required
0924m552,59197,required
0924m555,58376,required
0924m560,56751,required
0924m562,55946,required
0924m587,48186,required
0924m590,47439,required
0924m595,45962,required
0924m597,45231,required
0924m625,37557,required
0924m627,36892,required
0924m632,35579,required
0924m755,10659,required
0924m782,7034,required
0924m812,3927,required
0925m395,120582,required
0925m397,119471,required
0925m427,106454,required
0925m430,105397,required
0925m432,104344,required
0925m435,103295,required
0925m437,102250,required
0925m440,101209,required
0925m465,91049,required
0925m467,90058,required
0925m470,89071,required
0925m502,76671,required
0925m505,75750,required
0925m512,73018,required
0925m540,63376,required
0925m547,60854,required
0925m570,53562,required
0925m577,51226,required
0925m602,43786,required
0925m610,41660,required
0925m637,34290,required
0925m760,9946,required
0925m787,6453,required
0925m790,6173,required
0925m815,3709,required
0925m845,1574,required
0926m400,118364,required
0926m407,115067,required
0926m410,113976,required
0926m412,112889,required
0926m415,111806,required
0926m417,110727,required
0926m420,109652,required
0926m422,108581,required
0926m455,95060,required
0926m457,94051,required
0926m460,93046,required
0926m480,85172,required
0926m482,84209,required
0926m485,83250,required
0926m495,79463,required
0926m497,78528,required
0926m525,68562,required
0926m527,67685,required
0926m550,60023,required
0926m557,57561,required
0926m585,48938,required
0926m592,46698,required
0926m615,40271,required
0926m622,38227,required
0926m765,9257,required
0926m820,3292,required
0927m442,100174,required
0927m445,99143,required
0927m462,92045,required
0927m472,88090,required
0927m475,87113,required
0927m477,86140,required
0927m500,77597,required
0927m507,74835,required
0927m510,73924,required
0927m535,65085,required
0927m537,64228,required
0927m542,62531,required
0927m545,61690,required
0927m565,55147,required
0927m567,54352,required
0927m572,52779,required
0927m575,52000,required
0927m605,43073,required
0927m607,42364,required
0927m630,36233,required
0927m635,34932,required
0927m742,12547,required
0927m770,8592,required
0927m795,5632,required
0927m850,1305,required
0928m425,107516,required
0928m427,106455,required
0928m430,105398,required
0928m447,98116,required
0928m450,97093,required
0928m452,96074,required
0928m465,91050,required
0928m487,82297,required
0928m490,81348,required
0928m492,80403,required
0928m517,71222,required
0928m520,70331,required
0928m522,69444,required
0928m530,66814,required
0928m552,59198,required
0928m555,58377,required
0928m560,56752,required
0928m580,50459,required
0928m582,49696,required
0928m587,48187,required
0928m590,47440,required
0928m612,40963,required
0928m747,11774,required
0928m775,7951,required
0928m800,5115,required
0928m825,2899,required
0929m395,120583,required
0929m397,119472,required
0929m400,118365,required
0929m402,117262,required
0929m405,116163,required
0929m407,115068,required
0929m410,113977,required
0929m412,112890,required
0929m415,111807,required
0929m432,104345,required
0929m435,103296,required
0929m437,102251,required
0929m440,101210,required
0929m467,90059,required
0929m470,89072,required
0929m480,85173,required
0929m482,84210,required
0929m502,76672,required
0929m505,75751,required
0929m512,73019,required
0929m532,65947,required
0929m540,63377,required
0929m562,55947,required
0929m570,53563,required
0929m595,45963,required
0929m620,38903,required
0929m625,37558,required
0929m627,36893,required
0929m752,11025,required
0929m780,7334,required
0929m805,4622,required
0930m417,110728,required
0930m420,109653,required
0930m422,108582,required
0930m455,95061,required
0930m457,94052,required
0930m460,93047,required
0930m462,92046,required
0930m485,83251,required
0930m497,78529,required
0930m500,77598,required
0930m525,68563,required
0930m527,67686,required
0930m547,60855,required
0930m550,60024,required
0930m557,57562,required
0930m577,51227,required
0930m585,48939,required
0930m602,43787,required
0930m610,41661,required
0930m632,35580,required
0930m637,34291,required
0930m757,10300,required
0930m785,6741,required
0930m830,2530,required
0930m855,1060,required
0930m877,275,required
0931m442,100175,required
0931m445,99144,required
0931m447,98117,required
0931m450,97094,required
0931m452,96075,required
0931m472,88091,required
0931m475,87114,required
0931m477,86141,required
0931m507,74836,required
0931m510,73925,required
0931m535,65086,required
0931m537,64229,required
0931m542,62532,required
0931m565,55148,required
0931m567,54353,required
0931m592,46699,required
0931m615,40272,required
0931m617,39585,required
0931m640,33654,required
0931m762,9599,required
0931m810,4153,required
0932m395,120584,required
0932m397,119473,required
0932m400,118366,required
0932m402,117263,required
0932m405,116164,required
0932m407,115069,required
0932m425,107517,required
0932m427,106456,required
0932m430,105399,required
0932m432,104346,required
0932m435,103297,required
0932m437,102252,required
0932m440,101211,required
0932m465,91051,required
0932m467,90060,required
0932m470,89073,required
0932m487,82298,required
0932m490,81349,required
0932m492,80404,required
0932m517,71223,required
0932m522,69445,required
0932m545,61691,required
0932m552,59199,required
0932m555,58378,required
0932m575,52001,required
0932m580,50460,required
0932m600,44507,required
0932m605,43074,required
0932m622,38228,required
0932m630,36234,required
0932m745,12158,required
0932m767,8922,required
0932m835,2185,required
0932m857,948,required
0933m410,113978,required
0933m412,112891,required
0933m415,111808,required
0933m417,110729,required
0933m420,109654,required
0933m422,108583,required
0933m455,95062,required
0933m457,94053,required
0933m480,85174,required
0933m482,84211,required
0933m485,83252,required
0933m502,76673,required
0933m505,75752,required
0933m512,73020,required
0933m530,66815,required
0933m532,65948,required
0933m540,63378,required
0933m560,56753,required
0933m562,55948,required
0933m582,49697,required
0933m587,48188,required
0933m590,47441,required
0933m607,42365,required
0933m612,40964,required
0933m635,34933,required
0933m750,11397,required
0933m772,8269,required
0933m792,5900,required
0933m837,2023,required
0934m442,100176,required
0934m445,99145,required
0934m460,93048,required
0934m462,92047,required
0934m472,88092,required
0934m495,79465,required
0934m497,78530,required
0934m500,77599,required
0934m515,72119,required
0934m525,68564,required
0934m527,67687,required
0934m547,60856,required
0934m550,60025,required
0934m577,51228,required
0934m595,45964,required
0934m597,45233,required
0934m620,38904,required
0934m755,10660,required
0934m777,7640,required
0934m797,5371,required
0934m817,3498,required
0935m395,120585,required
0935m397,119474,required
0935m400,118367,required
0935m402,117264,required
0935m425,107518,required
0935m427,106457,required
0935m430,105400,required
0935m432,104347,required
0935m447,98118,required
0935m450,97095,required
0935m452,96076,required
0935m475,87115,required
0935m477,86142,required
0935m487,82299,required
0935m507,74837,required
0935m510,73926,required
0935m535,65087,required
0935m537,64230,required
0935m557,57563,required
0935m585,48940,required
0935m602,43788,required
0935m610,41662,required
0935m625,37559,required
0935m627,36894,required
0935m632,35581,required
0935m760,9947,required
0936m405,116165,required
0936m407,115070,required
0936m410,113979,required
0936m412,112892,required
0936m415,111809,required
0936m417,110730,required
0936m420,109655,required
0936m435,103298,required
0936m437,102253,required
0936m440,101212,required
0936m465,91052,required
0936m467,90061,required
0936m470,89074,required
0936m490,81350,required
0936m492,80405,required
0936m517,71224,required
0936m520,70333,required
0936m522,69446,required
0936m542,62533,required
0936m545,61692,required
0936m565,55149,required
0936m567,54354,required
0936m572,52781,required
0936m592,46700,required
0936m615,40273,required
0936m617,39586,required
0936m637,34292,required
0936m640,33655,required
0936m742,12548,required
0936m782,7035,required
0936m802,4866,required
0936m822,3093,required
0936m842,1718,required
0936m862,743,required
0937m422,108584,required
0937m455,95063,required
0937m457,94054,required
0937m460,93049,required
0937m462,92048,required
0937m480,85175,required
0937m482,84212,required
0937m485,83253,required
0937m502,76674,required
0937m505,75753,required
0937m512,73021,required
0937m530,66816,required
0937m532,65949,required
0937m552,59200,required
0937m555,58379,required
0937m560,56754,required
0937m575,52002,required
0937m580,50461,required
0937m582,49698,required
0937m600,44508,required
0937m605,43075,required
0937m622,38229,required
0937m747,11775,required
0937m765,9258,required
0937m787,6454,required
0937m882,170,required
0938m395,120586,required
0938m397,119475,required
0938m425,107519,required
0938m442,100177,required
0938m445,99146,required
0938m447,98119,required
0938m450,97096,required
0938m452,96077,required
0938m472,88093,required
0938m475,87116,required
0938m477,86143,required
0938m495,79466,required
0938m497,78531,required
0938m500,77600,required
0938m515,72120,required
0938m525,68565,required
0938m540,63379,required
0938m547,60857,required
0938m570,53565,required
0938m587,48189,required
0938m590,47442,required
0938m607,42366,required
0938m612,40965,required
0938m630,36235,required
0938m752,11026,required
0938m770,8593,required
0938m790,6174,required
0938m807,4385,required
0938m827,2712,required
0939m400,118368,required
0939m402,117265,required
0939m405,116166,required
0939m407,115071,required
0939m410,113980,required
0939m412,112893,required
0939m415,111810,required
0939m427,106458,required
0939m430,105401,required
0939m432,104348,required
0939m435,103299,required
0939m437,102254,required
0939m440,101213,required
0939m465,91053,required
0939m487,82300,required
0939m490,81351,required
0939m507,74838,required
0939m510,73927,required
0939m527,67688,required
0939m535,65088,required
0939m537,64231,required
0939m550,60026,required
0939m557,57564,required
0939m595,45965,required
0939m597,45234,required
0939m620,38905,required
0939m635,34934,required
0939m775,7952,required
0939m847,1437,required
0940m417,110731,required
0940m420,109656,required
0940m422,108585,required
0940m455,95064,required
0940m467,90062,required
0940m470,89075,required
0940m480,85176,required
0940m492,80406,required
0940m502,76675,required
0940m517,71225,required
0940m520,70334,required
0940m522,69447,required
0940m542,62534,required
0940m545,61693,required
0940m565,55150,required
0940m567,54355,required
0940m585,48941,required
0940m602,43789,required
0940m625,37560,required
0940m627,36895,required
0940m642,33024,required
0940m740,12944,required
0940m757,10301,required
0940m795,5633,required
0940m812,3928,required
0941m442,100178,required
0941m445,99147,required
0941m457,94055,required
0941m460,93050,required
0941m462,92049,required
0941m482,84213,required
0941m485,83254,required
0941m505,75754,required
0941m512,73022,required
0941m530,66817,required
0941m532,65950,required
0941m552,59201,required
0941m555,58380,required
0941m572,52782,required
0941m575,52003,required
0941m592,46701,required
0941m610,41663,required
0941m615,40274,required
0941m617,39587,required
0941m745,12159,required
0941m762,9600,required
0941m780,7335,required
0941m815,3710,required
0941m832,2355,required
0941m867,562,required
0942m395,120587,required
0942m397,119476,required
0942m400,118369,required
0942m402,117266,required
0942m405,116167,required
0942m407,115072,required
0942m410,113981,required
0942m425,107520,required
0942m427,106459,required
0942m430,105402,required
0942m435,103300,required
0942m447,98120,required
0942m450,97097,required
0942m452,96078,required
0942m472,88094,required
0942m475,87117,required
0942m477,86144,required
0942m495,79467,required
0942m497,78532,required
0942m500,77601,required
0942m515,72121,required
0942m525,68566,required
0942m540,63380,required
0942m560,56755,required
0942m562,55950,required
0942m580,50462,required
0942m600,44509,required
0942m605,43076,required
0942m622,38230,required
0942m637,34293,required
0942m640,33656,required
0942m800,5116,required
0943m412,112894,required
0943m415,111811,required
0943m417,110732,required
0943m420,109657,required
0943m422,108586,required
0943m437,102255,required
0943m440,101214,required
0943m465,91054,required
0943m467,90063,required
0943m470,89076,required
0943m487,82301,required
0943m490,81352,required
0943m492,80407,required
0943m507,74839,required
0943m510,73928,required
0943m527,67689,required
0943m535,65089,required
0943m547,60858,required
0943m550,60027,required
0943m570,53566,required
0943m587,48190,required
0943m590,47443,required
0943m607,42367,required
0943m612,40966,required
0943m630,36236,required
0943m645,32399,required
0943m750,11398,required
0943m767,8923,required
0943m785,6742,required
0943m852,1180,required
0944m455,95065,required
0944m457,94056,required
0944m460,93051,required
0944m480,85177,required
0944m482,84214,required
0944m502,76676,required
0944m517,71226,required
0944m520,70335,required
0944m522,69448,required
0944m542,62535,required
0944m557,57565,required
0944m577,51230,required
0944m595,45966,required
0944m597,45235,required
0944m737,13346,required
0944m755,10661,required
0944m772,8270,required
0944m805,4623,required
0944m820,3293,required
0945m395,120588,required
0945m397,119477,required
0945m400,118370,required
0945m402,117267,required
0945m405,116168,required
0945m425,107521,required
0945m427,106460,required
0945m442,100179,required
0945m445,99148,required
0945m447,98121,required
0945m450,97098,required
0945m452,96079,required
0945m462,92050,required
0945m472,88095,required
0945m485,83255,required
0945m505,75755,required
0945m512,73023,required
0945m530,66818,required
0945m532,65951,required
0945m545,61694,required
0945m552,59202,required
0945m567,54356,required
0945m585,48942,required
0945m602,43790,required
0945m620,38906,required
0945m625,37561,required
0945m642,33025,required
0945m742,12549,required
0946m410,113982,required
0946m412,112895,required
0946m415,111812,required
0946m417,110733,required
0946m420,109658,required
0946m430,105403,required
0946m432,104350,required
0946m435,103301,required
0946m437,102256,required
0946m440,101215,required
0946m475,87118,required
0946m477,86145,required
0946m495,79468,required
0946m497,78533,required
0946m500,77602,required
0946m515,72122,required
0946m555,58381,required
0946m560,56756,required
0946m572,52783,required
0946m575,52004,required
0946m580,50463,required
0946m592,46702,required
0946m610,41664,required
0946m615,40275,required
0946m627,36896,required
0946m632,35583,required
0946m647,31780,required
0946m760,9948,required
0946m777,7641,required
0946m792,5901,required
0946m810,4154,required
0946m825,2900,required
0946m840,1868,required
0947m422,108587,required
0947m465,91055,required
0947m467,90064,required
0947m470,89077,required
0947m487,82302,required
0947m490,81353,required
0947m492,80408,required
0947m507,74840,required
0947m510,73929,required
0947m525,68567,required
0947m527,67690,required
0947m547,60859,required
0947m570,53567,required
0947m582,49700,required
0947m600,44510,required
0947m617,39588,required
0947m637,34294,required
0947m747,11776,required
0947m765,9259,required
0948m392,121704,required
0948m395,120589,required
0948m397,119478,required
0948m400,118371,required
0948m442,100180,required
0948m445,99149,required
0948m455,95066,required
0948m457,94057,required
0948m460,93052,required
0948m462,92051,required
0948m480,85178,required
0948m482,84215,required
0948m485,83256,required
0948m502,76677,required
0948m505,75756,required
0948m517,71227,required
0948m520,70336,required
0948m522,69449,required
0948m535,65090,required
0948m537,64233,required
0948m557,57566,required
0948m587,48191,required
0948m590,47444,required
0948m605,43077,required
0948m607,42368,required
0948m622,38231,required
0948m640,33657,required
0948m735,13754,required
0948m752,11027,required
0948m782,7036,required
0948m797,5372,required
0948m872,405,required
0949m402,117268,required
0949m405,116169,required
0949m407,115074,required
0949m410,113983,required
0949m412,112896,required
0949m415,111813,required
0949m425,107522,required
0949m427,106461,required
0949m430,105404,required
0949m432,104351,required
0949m435,103302,required
0949m447,98122,required
0949m450,97099,required
0949m452,96080,required
0949m472,88096,required
0949m475,87119,required
0949m495,79469,required
0949m512,73024,required
0949m530,66819,required
0949m532,65952,required
0949m542,62536,required
0949m545,61695,required
0949m565,55152,required
0949m567,54357,required
0949m595,45967,required
0949m597,45236,required
0949m612,40967,required
0949m630,36237,required
0949m645,32400,required
