brickname,brickid,coverage_class_exact_indicator
0016m677,24650,required
0016m680,24106,required
0016m682,23568,required
0016m685,23036,required
0016m767,8837,required
0016m770,8509,required
0016m772,8187,required
0016m857,920,required
0017m395,120301,required
0017m397,119191,required
0017m400,118085,required
0017m402,116983,required
0017m490,81108,required
0017m492,80164,required
0017m495,79226,required
0017m497,78292,required
0017m500,77362,required
0017m502,76438,required
0017m505,75518,required
0017m507,74604,required
0017m510,73694,required
0017m512,72790,required
0017m592,46511,required
0017m595,45777,required
0017m597,45047,required
0017m600,44323,required
0017m602,43605,required
0017m605,42893,required
0017m607,42185,required
0017m610,41483,required
0017m687,22510,required
0017m690,21990,required
0017m692,21476,required
0017m697,20466,required
0017m775,7871,required
0017m777,7561,required
0017m780,7257,required
0017m860,816,required
0018m405,115885,required
0018m407,114791,required
0018m410,113701,required
0018m412,112615,required
0018m415,111533,required
0018m417,110455,required
0018m420,109381,required
0018m422,108311,required
0018m425,107247,required
0018m430,105131,required
0018m432,104079,required
0018m435,103031,required
0018m437,101987,required
0018m515,71890,required
0018m517,70996,required
0018m520,70106,required
0018m522,69220,required
0018m525,68340,required
0018m527,67464,required
0018m530,66594,required
0018m532,65728,required
0018m535,64868,required
0018m537,64012,required
0018m612,40787,required
0018m615,40097,required
0018m617,39411,required
0018m620,38731,required
0018m622,38057,required
0018m625,37389,required
0018m627,36725,required
0018m700,19970,required
0018m702,19480,required
0018m705,18996,required
0018m707,18518,required
0018m782,6959,required
0018m785,6667,required
0018m787,6381,required
0018m862,718,required
0019m440,100947,required
0019m442,99913,required
0019m445,98883,required
0019m447,97857,required
0019m452,95817,required
0019m455,94805,required
0019m460,92793,required
0019m462,91793,required
0019m465,90799,required
0019m540,63162,required
0019m542,62318,required
0019m545,61478,required
0019m547,60644,required
0019m550,59814,required
0019m552,58990,required
0019m557,57356,required
0019m630,36067,required
0019m632,35415,required
0019m635,34769,required
0019m637,34129,required
0019m640,33493,required
0019m710,18046,required
0019m712,17580,required
0019m715,17120,required
0019m790,6103,required
0019m792,5831,required
0019m865,626,required
0020m467,89809,required
0020m470,88823,required
0020m472,87843,required
0020m475,86867,required
0020m480,84929,required
0020m482,83967,required
0020m485,83009,required
0020m487,82057,required
0020m490,81109,required
0020m492,80165,required
0020m560,56548,required
0020m562,55744,required
0020m565,54946,required
0020m567,54152,required
0020m570,53364,required
0020m572,52582,required
0020m575,51804,required
0020m577,51032,required
0020m642,32863,required
0020m645,32239,required
0020m647,31621,required
0020m650,31009,required
0020m652,30403,required
0020m720,16218,required
0020m722,15776,required
0020m725,15338,required
0020m727,14906,required
0020m795,5565,required
0020m797,5305,required
0020m867,540,required
0021m395,120302,required
0021m397,119192,required
0021m400,118086,required
0021m405,115886,required
0021m407,114792,required
0021m410,113702,required
0021m412,112616,required
0021m415,111534,required
0021m417,110456,required
0021m420,109382,required
0021m422,108312,required
0021m425,107248,required
0021m495,79227,required
0021m497,78293,required
0021m500,77363,required
0021m502,76439,required
0021m505,75519,required
0021m507,74605,required
0021m510,73695,required
0021m512,72791,required
0021m580,50266,required
0021m582,49504,required
0021m585,48748,required
0021m587,47998,required
0021m590,47252,required
0021m592,46512,required
0021m660,28615,required
0021m662,28031,required
0021m665,27453,required
0021m730,14480,required
0021m732,14060,required
0021m735,13648,required
0021m800,5051,required
0021m802,4803,required
0022m427,106188,required
0022m430,105132,required
0022m432,104080,required
0022m435,103032,required
0022m437,101988,required
0022m440,100948,required
0022m442,99914,required
0022m445,98884,required
0022m447,97858,required
0022m515,71891,required
0022m517,70997,required
0022m522,69221,required
0022m527,67465,required
0022m530,66595,required
0022m532,65729,required
0022m595,45778,required
0022m597,45048,required
